,word,frequent
0,vaksin,662
1,semarang,425
2,kota,341
3,booster,292
4,covid,282
5,puskesmas,271
6,data,255
7,capai,218
8,vaksinasi,195
9,admin,193
10,fitphonelive,189
11,anak,158
12,interaktif,157
13,sedia,156
14,sehat,142
15,moderna,125
16,informasi,121
17,wa,117
18,daftar,116
19,dosis,109
20,tingkat,102
21,usia,98
22,layan,97
23,rt,95
24,mohon,93
25,sebar,91
26,mikrozonasi,90
27,terima,78
28,sp,67
29,dokter,67
30,peduli,61
31,hallo,60
32,pakai,59
33,bpjs,57
34,cek,55
35,tiket,55
36,sinopharm,55
37,tanggal,51
38,ayo,51
39,victori,51
40,bantu,50
41,uhc,49
42,mana,49
43,lindung,48
44,ktp,48
45,minggu,47
46,e,47
47,orang,46
48,selasa,45
49,kak,45
50,buka,45
51,jadwal,44
52,senin,44
53,dulur,43
54,tunggu,42
55,darah,41
56,sakit,41
57,sinovac,40
58,rabu,38
59,sertifikat,38
60,masyarakat,38
61,th,38
62,langsung,37
63,v,37
64,adminadmin,36
65,tolong,35
66,kasih,35
67,program,34
68,sabtu,34
69,lanjut,34
70,dunia,34
71,dan,34
72,baru,32
73,syarat,32
74,kemarin,32
75,info,31
76,sesuai,31
77,pfizer,30
78,kartu,30
79,obat,30
80,kamis,30
81,dinas,30
82,kanker,29
83,cegah,29
84,cari,29
85,tidak,29
86,s,28
87,minkes,28
88,nomor,28
89,m,27
90,muncul,27
91,bawa,27
92,periksa,27
93,rumah,27
94,boster,27
95,ambil,27
96,simak,26
97,banget,26
98,maaf,26
99,lurah,26
100,moga,26
101,pantau,25
102,nakes,25
103,sppd,24
104,makan,24
105,tugas,24
106,biar,24
107,imunisasi,24
108,sekolah,24
109,lengkap,23
110,kawan,23
111,adminvaksin,23
112,tentrem,23
113,masuk,23
114,pcv,23
115,warga,23
116,susah,23
117,aplikasi,23
118,kena,22
119,donor,22
120,faskes,21
121,habis,21
122,bayi,21
123,cepat,21
124,tema,21
125,dm,20
126,via,20
127,dinkes,20
128,prof,20
129,lapor,20
130,besok,20
131,indonesia,20
132,boosternya,20
133,stok,20
134,kuota,20
135,astra,20
136,skm,19
137,ketua,19
138,jalan,19
139,lupa,19
140,butuh,19
141,menang,19
142,putar,18
143,ada,18
144,salah,18
145,tangan,18
146,surat,18
147,pagi,18
148,perintah,18
149,mall,18
150,wilayah,18
151,kah,18
152,februari,18
153,camat,17
154,gizi,17
155,pkm,17
156,diabetes,17
157,bisa,17
158,jumat,17
159,giat,16
160,jaga,16
161,hamil,16
162,bayar,16
163,jenis,16
164,web,16
165,kakak,16
166,kosong,16
167,gratis,16
168,pandanaran,16
169,uji,16
170,kendor,16
171,penuh,16
172,kali,15
173,hiv,15
174,manfaat,15
175,atas,15
176,tolak,15
177,rawat,15
178,aktif,15
179,sih,15
180,aman,15
181,puasa,15
182,fitradio,14
183,yaa,14
184,ikut,14
185,gejala,14
186,idi,14
187,proses,14
188,suruh,14
189,pas,14
190,a,14
191,sabar,14
192,kupon,14
193,deh,14
194,mandiri,14
195,smsfitphonelive,14
196,domisili,13
197,lokasi,13
198,semarangbaru,13
199,nyamuk,13
200,gigi,13
201,jateng,13
202,bikin,13
203,nasional,13
204,kait,13
205,saran,13
206,hasil,13
207,serta,13
208,tua,13
209,primer,13
210,mudah,13
211,malam,12
212,daerah,12
213,jantung,12
214,kepala,12
215,nama,12
216,kulit,12
217,stunting,12
218,aju,12
219,oktober,12
220,nggih,12
221,baik,12
222,terang,12
223,apa,12
224,laksana,12
225,sms,12
226,coba,12
227,kantor,12
228,tutup,12
229,pasca,12
230,mudik,12
231,g,12
232,pedulilindungi,12
233,jelas,11
234,gz,11
235,bahaya,11
236,dbd,11
237,putri,11
238,waspada,11
239,kerja,11
240,pergi,11
241,rs,11
242,pmi,11
243,hadir,11
244,pasien,11
245,laku,11
246,januari,11
247,fasilitas,11
248,astrazeneca,11
249,milik,11
250,test,11
251,hp,11
252,vaksinvaksin,11
253,banjir,11
254,manyar,10
255,dian,10
256,drg,10
257,at,10
258,apt,10
259,umur,10
260,rujuk,10
261,kenal,10
262,helpdesk,10
263,tenaga,10
264,solusi,10
265,sobat,10
266,ijin,10
267,klinik,10
268,pulang,10
269,inap,10
270,lihat,10
271,fogging,10
272,lahir,10
273,gula,10
274,mari,10
275,tubuh,10
276,balita,10
277,siang,10
278,silah,10
279,hubung,10
280,dekat,10
281,lebaran,10
282,antigen,10
